dataset,file_date,filename,size_bytes,size_human,last_modified,url,status,error
monthly,2024-01,export_mensual_mat_202401.zip,11526509,10.99 MB,"Thu, 15 Feb 2024 07:31:03 GMT",https://www.dgt.es/microdatos/salida/2024/1/vehiculos/matriculaciones/export_mensual_mat_202401.zip,ok,
monthly,2024-02,export_mensual_mat_202402.zip,12990032,12.39 MB,"Fri, 15 Mar 2024 07:31:04 GMT",https://www.dgt.es/microdatos/salida/2024/2/vehiculos/matriculaciones/export_mensual_mat_202402.zip,ok,
monthly,2024-03,export_mensual_mat_202403.zip,13935951,13.29 MB,"Mon, 15 Apr 2024 06:31:01 GMT",https://www.dgt.es/microdatos/salida/2024/3/vehiculos/matriculaciones/export_mensual_mat_202403.zip,ok,
monthly,2024-04,export_mensual_mat_202404.zip,14822688,14.14 MB,"Wed, 15 May 2024 06:31:03 GMT",https://www.dgt.es/microdatos/salida/2024/4/vehiculos/matriculaciones/export_mensual_mat_202404.zip,ok,
monthly,2024-05,export_mensual_mat_202405.zip,15307448,14.60 MB,"Sat, 15 Jun 2024 06:30:59 GMT",https://www.dgt.es/microdatos/salida/2024/5/vehiculos/matriculaciones/export_mensual_mat_202405.zip,ok,
monthly,2024-06,export_mensual_mat_202406.zip,15996117,15.26 MB,"Mon, 15 Jul 2024 06:30:56 GMT",https://www.dgt.es/microdatos/salida/2024/6/vehiculos/matriculaciones/export_mensual_mat_202406.zip,ok,
monthly,2024-07,export_mensual_mat_202407.zip,14962508,14.27 MB,"Thu, 15 Aug 2024 06:31:04 GMT",https://www.dgt.es/microdatos/salida/2024/7/vehiculos/matriculaciones/export_mensual_mat_202407.zip,ok,
monthly,2024-08,export_mensual_mat_202408.zip,9947893,9.49 MB,"Sun, 15 Sep 2024 06:31:01 GMT",https://www.dgt.es/microdatos/salida/2024/8/vehiculos/matriculaciones/export_mensual_mat_202408.zip,ok,
monthly,2024-09,export_mensual_mat_202409.zip,12988950,12.39 MB,"Tue, 15 Oct 2024 06:31:06 GMT",https://www.dgt.es/microdatos/salida/2024/9/vehiculos/matriculaciones/export_mensual_mat_202409.zip,ok,
monthly,2024-10,export_mensual_mat_202410.zip,15359645,14.65 MB,"Fri, 15 Nov 2024 10:01:01 GMT",https://www.dgt.es/microdatos/salida/2024/10/vehiculos/matriculaciones/export_mensual_mat_202410.zip,ok,
